job,firm,functional_area,type
Senior Infrastructure & Cloud Services Advisor,West Monroe,Cloud IT Architecture,Job
Senior 3D/Motion Designer,Yonder Consulting,Marketing Digital,Job
Manager - Technology,First Consulting,Mobile & Apps Project Management Business Intelligence Cloud IT Architecture Software More,Job
HR Manager,BearingPoint,Human Resources,Job
"Analyst, satellite and space markets",Analysys Mason,Strategy Digital Innovation IT Strategy Data Science,Job
"PH-4804; Test Automation Manager, Python / Azure",B2E Consulting,Unknown,Job
Director Client Services - Life Sciences,Genioo,Strategy Management Sales,Job
Internships,Simon-Kucher,Pricing,Internship
Senior Business Development Manager,Ayming,Sales,Job
PMO Lead,ThreeTwoFour,Project Management,Job
M&A Managing Partner UK,Marktlink,Unknown,Job
Senior Consultant - Local Government Strategy,Campbell Tickell,Strategy,Job
Data Scientist,Digital Power,Data Science,Job
Director - Supply Chain Strategy & Transformation,Capgemini Invent,Strategy Supply Chain,Job
Consultants and Senior Consultants,Procura Consulting,Project Management Supply Chain Finance,Job
Sourcing & Commercial Role,Coeus Consulting,Project Management IT Strategy IT Architecture Outsourcing & Shared Services,Job
Management Consultants,Collinson Grant,Process Management Performance Management Supply Chain Change Management,Job
Experienced Hire,Fairgrove Partners,Strategy Mergers & Acquisitions,Job
Internship / Work Placement,Skarbek Associates,Marketing Digital Project Management Data Science,Internship
,Alvarez & Marsal,Management Mergers & Acquisitions Ecommerce Mobile & Apps Corporate Governance Lean & Six Sigma,Job
AWS Principal Architect,PA Consulting,Unknown,Job
Associate,McKinsey & Company,Strategy Digital,Job
Healthcare consultant,Develop Consulting,Lean & Six Sigma Change Management,Job
Independent Consultant ,dss+,Sustainability,Job
Principal Consultants,Q5,Strategy Sales Project Management,Job
Strategy& - Strategy Senior Associate,PwC,Strategy,Job
Analyst,Change Management Group,Process Management Change Management Data Science,Job
Analyst,Enfuse Group,Digital Innovation Process Management,Job
Consultant Roles (at all levels) – IT Advisory,Mason Advisory,Digital IT Strategy Data Science Cloud IT Architecture,Job
Intermediate Quantity Surveyor,Panoptic Consultancy Group,Project Management Risk & Compliance,Job
Consultant Treasury Technology,Zanders,Corporate Finance Finance,Job
Data Engineer,Valcon,Data Science Business Intelligence IT Architecture Software,Job
Senior Analyst,CIL Management Consultants,Strategy Data Science,Job
Senior Consultant | Energy & Natural Resources | Strategic Communications,FTI Consulting,Unknown,Job
Associate Consultant,Bain & Company,Strategy,Job
Senior Strategist,The Upside,Strategy Marketing Innovation,Job
Business Analyst,Humatica,Data Science,Job
Business Development Manager UK,COMATCH,Sales,Job
Operational Technology Cyber Security Expert | Senior Manager | Dublin or Cork,PwC,IT Strategy Cyber Security,Job
 Marketing Executive/Manager,Panoptic Consultancy Group,Marketing,Job
Manager,CIL Management Consultants,Strategy Mergers & Acquisitions Data Science,Job
Internship Business Development UK,COMATCH,Sales,Internship
Technology and Architecture Roles ,Coeus Consulting,Digital IT Strategy Business Intelligence Cloud IT Architecture,Job
Manager and Senior Manager,Procura Consulting,Project Management Procurement,Job
